Clear Domain,Type,URL,DNS Lookup (ms),TCP Connect (ms),TLS Handshake (ms),DOMContentLoaded (ms),Page Load (ms),Total Time (ms),Circuit Relays (Onion only)
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0,0,,5772,6879,6879,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; F244718416729A236984B40CF62C3D4AB30C03FC:PommespanzerFR1:51.75.17.236:FR
mempool.space,clear,https://mempool.space,0,0,1,505,2033,2033,
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0,0,,4835,6318,6318,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 9289033F9CC6667E4A8B457C462E754F01C044F0:Kamacuras:84.19.176.161:DE
taz.de,clear,https://taz.de,10,107,,412,539,539,
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0,1780,,2653,4289,4289,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 3797C9C124615A03EB45DB7945859F97ADFAC10F:gaeta:195.201.59.21:DE
marxists.org,clear,https://marxists.org,16,116,,429,601,601,
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0,1992,,3062,3474,3474,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 87D610462676596199D0538D9E72B490E61F19C7:prsv:147.45.179.72:GB
wiz.biz,clear,https://wiz.biz,15,338,1,761,924,924,
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0,4790,,9061,9852,9852,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; DC3C0219B755E5A0FC378E1FF8B18BB3474B578E:macapw:206.71.158.48:NL
f-droid.org,clear,https://f-droid.org,17,95,,388,449,449,
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0,2357,,2829,3404,3404,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 348944DB6A0194FCE0161E400CE778CE0DBE47EA:scrappy:51.68.185.82:DE
cock.li,clear,https://cock.li,12,74,,154,273,273,
mediapart.fr,onion,https://www.mediapartrvj4bsgolbxixw57ru7fh4jqckparke4vs365guu6ho64yd.onion/,0,1109,,2367,3192,3192,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 86FD3E9304EDE0BBE0EEF6515FB83F62D45168DB:NTH35R2:192.42.116.187:NL
mediapart.fr,clear,https://mediapart.fr,21,0,,423,519,519,
riseup.net,onion,http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/index.en.html,0,2958,,3374,5970,5970,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 15841A96CA5C1171985A9565BF7CDDFE2BF8E91E:Bundesgebaermutter:65.21.62.213:FI
riseup.net,clear,https://riseup.net,17,538,,758,3107,3107,
blockstream.info,onion,http://explorerzydxu5ecjrkwceayqybizmpjjznk5izmitf2modhcusuqlid.onion/,0,2613,,3168,10154,10154,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; D74929E4FBD30F67D227191165A49094CEF72A76:hardcode:164.132.75.248:FR
blockstream.info,clear,https://blockstream.info,18,152,,472,2084,2084,
svoboda.org,onion,https://www.svobod7mjzb3hwxhgcnx7ui2ffd4p5zulftzkzdlmpaztuuoxnlpwhyd.onion/,0,2720,,4594,10124,10124,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 9DEB928980EC2931282A67A910C14683DFB6C508:ioexploitR08:141.95.52.206:DE
svoboda.org,clear,https://svoboda.org,23,15,6,362,1512,1512,
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0,2536,,5602,7941,7941,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 1FB35C6E8E92001656B27937EB088D472390385B:Relay04MaskAD:192.121.108.130:SE
archive.org,clear,https://archive.org,10,328,,1117,1551,1551,
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,7170,,8091,9180,9180,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 1E661687691A4580129C074A5F8B3D1DB44447AB:mikrogravitationE:45.14.233.251:DE
theguardian.com,clear,https://theguardian.com,0,0,1,376,482,482,
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0,0,,7350,9774,9774,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; A12CD457586B7CA552D75EA80521459401924D79:SLM:45.155.170.60:FR
brave.com,clear,https://brave.com,23,38,,260,316,316,
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,757,,1324,2552,2552,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 1E661687691A4580129C074A5F8B3D1DB44447AB:mikrogravitationE:45.14.233.251:DE
guardian.co.uk,clear,https://guardian.co.uk,0,0,1,327,456,456,
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0,2139,,5966,11388,11388,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 71C29CA53C9F913B3692B8DD957D245E10AA7EB6:relay:194.87.252.214:RU
voanews.com,clear,https://voanews.com,26,19,11,549,1525,1525,
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0,1420,,2987,4272,4272,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; F377166606A240FD01174C5CD39E5072E4F56BAC:igloo1:212.132.108.13:DE
proton.me,clear,https://proton.me,25,45,,250,503,503,
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0,0,1,6671,8147,8147,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 219671E56FE6D40F8E355E272FCD05EE23C00AC8:zandoli:85.215.200.200:DE
amnesty.org,clear,https://amnesty.org,0,0,1,757,773,773,
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0,815,,2418,8587,8587,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 94F5629AE5F2DC409CD44668176597FF48296BA1:kuro:148.251.83.53:DE
propublica.org,clear,https://propublica.org,30,18,,941,1966,1966,
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0,1338,,2540,3562,3562,
torproject.org,clear,https://torproject.org,30,46,,424,587,587,
