Clear Domain,Type,URL,DNS Lookup (ms),TCP Connect (ms),TLS Handshake (ms),DOMContentLoaded (ms),Page Load (ms),Total Time (ms),Circuit Relays (Onion only)
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0,1281,,2881,6581,6581,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 6BBCEDA64F82850616E09BCA9AC9A0DB5089FD0E:MrNimbus:98.114.62.110:US
rferl.org,clear,https://rferl.org,43,15,,436,1337,1337,
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0,799,,1785,6594,6594,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 74B328088AF5F0170B19034CAEB335F920DAADAA:anarchy:37.114.42.239:DE
mullvad.net,clear,https://mullvad.net,0,0,2,253,419,419,
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,592,,1500,1500,1500,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; C60F0BE03DECFAEAEA0398362F985B39DAAF4A54:focalmohr:74.208.27.90:US
archive.ph,clear,https://archive.ph,31,1060,,2435,3020,3020,
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0,0,,10494,12780,12780,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 323DBB20AC783C5FD82256D11DEF0E44AACEC6FB:Anulyavana:212.79.125.21:UA
mempool.space,clear,https://mempool.space,0,0,1,457,1838,1838,
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0,0,,5408,6303,6303,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; DFA46FE65F01E255D544EF3E7DA9217D51096142:Unnamed:194.126.173.158:NL
taz.de,clear,https://taz.de,1,98,,378,550,550,
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0,1321,,2531,4333,4333,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; C33F952B7EB6ADED78B8EC077119A4CD1B9C5F61:svensnode:103.251.166.10:NL
marxists.org,clear,https://marxists.org,25,121,,435,606,606,
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0,1935,,2733,3503,3503,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; B4E3546B058FEB655A6D8698D97C1459A2DF8E77:dotsrcRelay1:130.225.244.90:DK
wiz.biz,clear,https://wiz.biz,1,333,1,704,868,868,
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0,1405,,2561,3578,3578,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; DCB0BB5DF6D7CE6467DD82193EB4A8581A0F0645:ChaotorumRelay:82.165.116.173:DE
f-droid.org,clear,https://f-droid.org,16,99,,373,416,416,
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0,1413,,1756,2332,2332,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 1D851C4BD54C5923328DEBD4AB1FF7640A2B4E54:Chomeles24fire:88.151.194.12:DE
cock.li,clear,https://cock.li,11,73,,149,241,241,
mediapart.fr,onion,https://www.mediapartrvj4bsgolbxixw57ru7fh4jqckparke4vs365guu6ho64yd.onion/,0,646,,1741,2314,2314,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 13914EEC5BCF245D717A4E071E164A4DAB547594:prsv:45.145.164.86:FR
mediapart.fr,clear,https://mediapart.fr,22,0,,348,424,424,
riseup.net,onion,http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/index.en.html,0,1135,,1529,3998,3998,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 8E9E3239EC9A082F5337C5F45A8E706A86BA19B0:Unnamed:45.63.15.42:US
riseup.net,clear,https://riseup.net,49,550,,794,3137,3137,
blockstream.info,onion,http://explorerzydxu5ecjrkwceayqybizmpjjznk5izmitf2modhcusuqlid.onion/,0,1499,,2088,8816,8816,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 048FEDBCDAA2F5AD70CC90275EB4434676B408C5:TorUtilizer:81.169.200.3:DE
blockstream.info,clear,https://blockstream.info,12,141,,461,2349,2349,
svoboda.org,onion,https://www.svobod7mjzb3hwxhgcnx7ui2ffd4p5zulftzkzdlmpaztuuoxnlpwhyd.onion/,0,2247,,5234,8517,8517,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; D218561DA59F093AB94A22620E063ECE87381575:ForPrivacyNET:185.220.101.192:DE
svoboda.org,clear,https://svoboda.org,20,16,,392,1305,1305,
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0,2532,,4817,6532,6532,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; E680D2E9D61D1624569BBF4C3068461E265A234B:prsv:162.19.79.247:FR
archive.org,clear,https://archive.org,18,335,,1116,1550,1550,
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,3509,,4718,8220,8220,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 8E2ECAB13A2CB3EB4EA3E3D47FB5584E3AEEE2D9:DlieRelay0:128.140.113.9:DE
theguardian.com,clear,https://theguardian.com,0,0,1,326,458,458,
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0,0,1,6542,9240,9240,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 22B914891BFD03971AEF2D54C3129F1C4F61B2FF:Veng:188.165.136.211:FR
brave.com,clear,https://brave.com,23,49,,315,356,356,
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,1059,,2047,3588,3588,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 8E2ECAB13A2CB3EB4EA3E3D47FB5584E3AEEE2D9:DlieRelay0:128.140.113.9:DE
guardian.co.uk,clear,https://guardian.co.uk,0,0,1,331,453,453,
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0,3163,,4956,8339,8339,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; A3889BF1AC0A311853393FE6F81382C0F38FC3FB:InVinoVeritas3:57.128.213.121:PL
voanews.com,clear,https://voanews.com,31,21,,314,1181,1181,
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0,1012,,2386,3445,3445,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 6DF9B54DF49AEB5992B9AF8D4ECFA7BCC7447A8B:Belize:51.158.201.235:NL
proton.me,clear,https://proton.me,1,39,,232,455,455,
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0,0,,7186,7731,7731,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; BE2803357A0DCA205C24A3D318E45053C401EA4D:kurt:65.108.193.42:FI
amnesty.org,clear,https://amnesty.org,0,0,1,649,663,663,
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0,1160,,3095,6891,6891,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 8C25BA134D579B8AAF420E01215EB2CF06AAE907:DigiGesTor5e4:195.176.3.24:CH
propublica.org,clear,https://propublica.org,24,16,,1092,1980,1980,
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0,961,,2408,3958,3958,
torproject.org,clear,https://torproject.org,37,289,,1377,2008,2008,
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,1419,,2373,2373,2373,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 109082DBC8CB441AF24F812C348DB48274613895:prsv:164.132.200.218:FR
archive.is,clear,https://archive.is,30,1046,,1735,2561,2561,
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0,2009,,3807,8076,8076,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; ED6801386BEC025CD6AB759B144A1CA0E81932D1:toptor1:84.252.122.96:DE
rferl.org,clear,https://rferl.org,37,17,,384,1468,1468,
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0,994,,2094,6386,6386,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; ECFDBCDFF24CD0A2D4CECE93CC51EB74A5A16BBD:Vigilance:87.236.197.123:CZ
mullvad.net,clear,https://mullvad.net,0,0,8,560,729,729,
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,398,,1149,1150,1150,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 109082DBC8CB441AF24F812C348DB48274613895:prsv:164.132.200.218:FR
archive.ph,clear,https://archive.ph,27,1036,1,1726,3355,3355,
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0,0,,3673,4471,4471,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; D0EDEFA81312D510D61666904120A762681A82A1:prsv:51.89.23.41:DE
mempool.space,clear,https://mempool.space,0,0,1,468,1979,1979,
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0,0,,2833,4234,4234,
taz.de,clear,https://taz.de,1,107,,382,501,501,
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0,932,,1572,2519,2519,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 90333CD7DF2601BE73557753DEE9B4C8444B5E4A:Zebala:95.211.208.141:NL
marxists.org,clear,https://marxists.org,20,105,,420,654,654,
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0,1549,,2157,2506,2506,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 29AA27254730B6188CCD4F9838B6229E0536B72F:GOGRelayAlb5:78.159.131.65:NL
wiz.biz,clear,https://wiz.biz,0,329,,705,870,870,
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0,1281,,4938,5499,5499,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 774A36D20AAA6E2A1265AB6E1FFC9B50C95872AB:FASCIA:95.217.135.55:FI
f-droid.org,clear,https://f-droid.org,1,90,1,378,428,428,
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0,1475,,1902,2473,2473,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 4CEAFCE5841C0DAE30164B4F59452F7F4D818A67:QOnan:185.183.194.90:CH
cock.li,clear,https://cock.li,12,75,,156,248,248,
mediapart.fr,onion,https://www.mediapartrvj4bsgolbxixw57ru7fh4jqckparke4vs365guu6ho64yd.onion/,0,930,,2845,3301,3301,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; ACEA5C60E4D37D9770246E81C19DB1C3F3CD1A8F:systemli01:192.68.11.203:DE
mediapart.fr,clear,https://mediapart.fr,23,0,,342,441,441,
riseup.net,onion,http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/index.en.html,0,1861,,2287,5062,5062,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; D449ACD681398217BF669A03C2724C41A96D23D8:lildread:64.65.63.63:NL
riseup.net,clear,https://riseup.net,16,533,,744,3088,3088,
blockstream.info,onion,http://explorerzydxu5ecjrkwceayqybizmpjjznk5izmitf2modhcusuqlid.onion/,0,1558,,2215,9321,9321,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 7FC29CAAF8C66CD87B2BF10F211CB054B5366E00:zitrone:87.106.235.75:DE
blockstream.info,clear,https://blockstream.info,16,117,,471,2143,2143,
svoboda.org,onion,https://www.svobod7mjzb3hwxhgcnx7ui2ffd4p5zulftzkzdlmpaztuuoxnlpwhyd.onion/,0,1774,,4777,11669,11669,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; DC7E7D9AB7AD52F03B856E6DC278E9D92BF19B33:s6tor2:135.181.67.210:FI
svoboda.org,clear,https://svoboda.org,21,16,,342,1242,1242,
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0,2397,,5173,10484,10484,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 698EB2D58F67A26E4EEB93B302DBB67E46B6AA34:prsv:51.210.179.144:FR
archive.org,clear,https://archive.org,12,328,1,1118,1606,1606,
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,4415,1,5193,6285,6285,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; E4874707C16CE90F80509B03E974D19FAF9C5BA9:joebudden:64.65.63.65:NL
theguardian.com,clear,https://theguardian.com,0,0,1,287,375,375,
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0,0,1,7574,11528,11528,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 50B7C4F6C18A3E5FC1D4E2ECE6B7B316B29FB26C:ElonTusk:94.130.142.182:DE
brave.com,clear,https://brave.com,23,46,,290,362,362,
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,688,,1444,2271,2271,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; E4874707C16CE90F80509B03E974D19FAF9C5BA9:joebudden:64.65.63.65:NL
guardian.co.uk,clear,https://guardian.co.uk,0,0,1,391,493,493,
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0,1502,,3302,7535,7535,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 4D048EF9BC944EF3EAE0E3468E688EB1845E87A7:TCPTorsten:77.90.4.44:DE
voanews.com,clear,https://voanews.com,24,18,7,331,1128,1128,
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0,1175,,2418,3554,3554,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 69A412D32D4012972877914E7222DDB7C3C76D42:prsv:193.142.147.204:NL
proton.me,clear,https://proton.me,20,41,,234,423,423,
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0,0,1,16269,17277,17277,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; AE451E3B663F4D46820C12C73B3F6A80BB43A2BB:Achilles:134.199.203.32:US
amnesty.org,clear,https://amnesty.org,0,0,3,775,789,789,
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0,760,,2848,8303,8303,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; CD3B961DA0D9FD377B6F15B4DBD00E73E64F2129:oraTor:185.107.80.48:NL
propublica.org,clear,https://propublica.org,22,13,,907,1828,1828,
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0,916,,1504,2057,2057,
torproject.org,clear,https://torproject.org,16,282,,1757,2504,2504,
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,2116,,3288,3288,3288,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; A5424DEEDD5A913146E7177A79EE48FAF7CB861A:bkjk:23.82.136.232:US
archive.is,clear,https://archive.is,31,1077,,1776,3444,3444,
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0,2605,,5056,10150,10150,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; CDCCB6E228E9BC0898713BD026CBA47E3C57B87D:marmot:37.27.25.133:FI
rferl.org,clear,https://rferl.org,21,13,,388,1492,1492,
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0,623,,1303,4630,4630,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 2F8166ECF71F5FCC95CBEB522C4615C6E4C789F8:Heaven24elayingOG5:45.153.34.246:DE
mullvad.net,clear,https://mullvad.net,0,0,1,271,572,572,
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,681,,1705,1706,1706,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; A5424DEEDD5A913146E7177A79EE48FAF7CB861A:bkjk:23.82.136.232:US
archive.ph,clear,https://archive.ph,31,1061,,1757,2371,2371,
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0,0,,5565,8360,8360,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; A7C5B40EC0FB5175E884075DDC87531D353F679C:rofltor05:178.63.19.126:DE
mempool.space,clear,https://mempool.space,0,0,1,516,1890,1890,
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0,0,,3414,5868,5868,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 24CC5254BB0F2F82F799CB483211D36948CC5FA8:Clara:51.159.30.189:FR
taz.de,clear,https://taz.de,2,113,,419,532,532,
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0,1189,,1875,3299,3299,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; C80B8274FCE2FF2F7E2079D1C397F685DEFA0793:Citrinio:46.4.78.3:DE
marxists.org,clear,https://marxists.org,24,109,,495,672,672,
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0,2206,,3057,3969,3969,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 82F510D52ED008D9E82BB799BBDF98CCDCEA2F00:1234qwertyasdfzxcv:212.95.51.8:DE
wiz.biz,clear,https://wiz.biz,1,329,,704,867,867,
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0,938,,1819,2389,2389,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 6DFEB41C04CCE846871338E85DD5ACF5CFB6C1DD:Onyx:192.42.115.102:NL
f-droid.org,clear,https://f-droid.org,29,107,,424,495,495,
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0,1149,,1487,1968,1968,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 271BAC8AE04BB35028FA0CA29363AA59E9CC8BC7:Hercules:159.89.23.116:DE
cock.li,clear,https://cock.li,1,76,,162,276,276,
mediapart.fr,onion,https://www.mediapartrvj4bsgolbxixw57ru7fh4jqckparke4vs365guu6ho64yd.onion/,0,893,,2964,3698,3698,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 83A83106CF70808C479B73D9141B03B7042F4605:itsamazing:188.245.91.213:DE
mediapart.fr,clear,https://mediapart.fr,28,0,,530,598,598,
riseup.net,onion,http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/index.en.html,0,1521,,1878,4410,4410,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; AF24B19E4DB5187AB7C278AE1A1E96D02FA9BCAC:parisofficial:46.226.105.163:FR
riseup.net,clear,https://riseup.net,19,567,,934,3307,3307,
