Clear Domain,Type,URL,DNS Lookup (ms),TCP Connect (ms),TLS Handshake (ms),DOMContentLoaded (ms),Page Load (ms),Total Time (ms)
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0.0,3882.5,0.0,8407.5,17604.5,17604.5
archive.org,clear,https://archive.org,21.5,339.5,0.0,1182.0,1818.0,1818.0
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0.0,8645.0,0.0,10368.0,26705.0,26705.0
theguardian.com,clear,https://theguardian.com,0.0,0.0,3.0,335.5,470.0,470.0
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0.0,0.0,0.5,7059.5,9959.0,9959.0
brave.com,clear,https://brave.com,21.5,42.5,1.0,316.0,378.0,378.0
dw.com,clear,https://dw.com,22.0,15.5,0.0,364.5,364.5,364.5
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0.0,856.0,0.0,2337.0,3836.5,3836.5
guardian.co.uk,clear,https://guardian.co.uk,0.0,0.0,1.5,371.5,477.5,477.5
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0.0,2149.0,0.0,3947.5,8452.0,8452.0
voanews.com,clear,https://voanews.com,36.5,33.0,0.0,335.0,1108.5,1108.5
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0.0,1391.5,0.0,2933.5,4050.0,4050.0
proton.me,clear,https://proton.me,16.5,55.0,0.5,286.0,485.5,485.5
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0.0,0.0,1.0,7985.5,8775.0,8775.0
amnesty.org,clear,https://amnesty.org,0.0,0.0,1.0,778.5,792.5,792.5
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0.0,3809.0,,5900.5,13049.0,13049.0
propublica.org,clear,https://propublica.org,30.0,16.0,0.0,1080.5,1963.0,1963.0
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0.0,1870.5,,3168.0,4429.0,4429.0
torproject.org,clear,https://torproject.org,18.0,178.0,0.0,1140.0,1578.5,1578.5
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0.0,1900.0,,2860.5,2861.0,2861.0
archive.is,clear,https://archive.is,37.0,1079.5,0.0,1788.5,2896.5,2896.5
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0.0,2428.0,0.5,4573.5,8998.0,8998.0
rferl.org,clear,https://rferl.org,23.5,31.0,1.5,626.0,1766.0,1766.0
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0.0,981.5,,1740.0,7710.0,7710.0
mullvad.net,clear,https://mullvad.net,0.0,0.0,2.0,320.0,674.5,674.5
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0.0,539.0,,1231.0,1231.5,1231.5
archive.ph,clear,https://archive.ph,31.0,1013.0,0.0,1697.5,2326.0,2326.0
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0.0,0.0,,4978.5,6163.5,6163.5
mempool.space,clear,https://mempool.space,0.0,0.0,1.0,487.0,1990.0,1990.0
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0.0,0.0,,7116.0,9662.5,9662.5
taz.de,clear,https://taz.de,7.5,104.5,0.0,394.5,554.0,554.0
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0.0,2294.5,,3100.0,4447.5,4447.5
marxists.org,clear,https://marxists.org,41.0,107.5,0.0,471.5,651.0,651.0
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0.0,3276.0,,4456.0,5535.5,5535.5
wiz.biz,clear,https://wiz.biz,22.0,333.0,2.5,734.5,897.5,897.5
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0.0,2330.5,,5095.5,7444.0,7444.0
f-droid.org,clear,https://f-droid.org,13.5,101.5,0.0,366.5,408.0,408.0
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0.0,1629.0,,2069.0,2626.5,2626.5
cock.li,clear,https://cock.li,13.0,83.0,0.0,167.0,258.5,258.5
mediapart.fr,onion,https://www.mediapartrvj4bsgolbxixw57ru7fh4jqckparke4vs365guu6ho64yd.onion/,0.0,1352.5,0.0,3636.0,5910.5,5910.5
mediapart.fr,clear,https://mediapart.fr,21.5,0.0,0.0,403.5,486.0,486.0
riseup.net,onion,http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/index.en.html,0.0,2299.5,,2760.5,5444.0,5444.0
riseup.net,clear,https://riseup.net,19.0,577.0,0.0,871.5,3200.5,3200.5
blockstream.info,onion,http://explorerzydxu5ecjrkwceayqybizmpjjznk5izmitf2modhcusuqlid.onion/,0.0,4860.5,,5440.0,13094.5,13094.5
blockstream.info,clear,https://blockstream.info,15.0,224.0,0.0,540.5,2138.5,2138.5
svoboda.org,onion,https://www.svobod7mjzb3hwxhgcnx7ui2ffd4p5zulftzkzdlmpaztuuoxnlpwhyd.onion/,0.0,3561.0,0.5,7198.5,14863.0,14863.0
svoboda.org,clear,https://svoboda.org,23.0,21.0,0.5,328.0,1224.5,1224.5
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0.0,3553.0,0.0,7549.0,14746.33,14746.33
archive.org,clear,https://archive.org,26.0,336.33,0.0,1176.0,1884.67,1884.67
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0.0,8238.33,0.0,10354.67,28718.0,28718.0
theguardian.com,clear,https://theguardian.com,0.0,0.0,2.67,341.33,461.0,461.0
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0.0,0.0,0.33,6888.0,9835.67,9835.67
brave.com,clear,https://brave.com,21.67,40.67,0.67,313.67,386.0,386.0
dw.com,clear,https://dw.com,24.67,15.67,0.0,366.0,366.0,366.0
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0.0,1413.0,0.0,3599.0,5155.33,5155.33
guardian.co.uk,clear,https://guardian.co.uk,0.0,0.0,1.67,385.0,492.67,492.67
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0.0,2512.0,0.0,4677.67,9332.33,9332.33
voanews.com,clear,https://voanews.com,32.0,27.67,0.0,333.33,1138.33,1138.33
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0.0,1633.33,0.33,3194.0,4359.0,4359.0
proton.me,clear,https://proton.me,15.0,69.67,0.33,326.0,533.33,533.33
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0.0,0.0,0.67,7974.67,8773.0,8773.0
amnesty.org,clear,https://amnesty.org,0.0,0.0,1.33,800.0,814.67,814.67
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0.0,3011.67,,5170.33,11702.0,11702.0
propublica.org,clear,https://propublica.org,27.33,16.33,0.0,1031.0,1993.0,1993.0
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0.0,1557.33,,2655.33,3794.33,3794.33
torproject.org,clear,https://torproject.org,17.67,227.33,0.0,1369.0,1882.33,1882.33
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0.0,2004.0,,3014.0,3014.67,3014.67
archive.is,clear,https://archive.is,35.0,1051.33,0.0,1749.33,2716.33,2716.33
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0.0,2478.0,0.33,4807.0,9401.0,9401.0
rferl.org,clear,https://rferl.org,16.33,25.67,1.0,519.67,1626.67,1626.67
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0.0,903.33,,1743.67,7109.33,7109.33
mullvad.net,clear,https://mullvad.net,0.0,0.0,1.67,317.67,605.0,605.0
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0.0,591.67,,1373.33,1373.67,1373.67
archive.ph,clear,https://archive.ph,30.67,1020.33,0.0,1782.67,2413.0,2413.0
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0.0,0.0,,4978.5,6163.5,6163.5
mempool.space,clear,https://mempool.space,0.0,0.0,1.33,493.33,1958.33,1958.33
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0.0,0.0,,6427.0,8650.67,8650.67
taz.de,clear,https://taz.de,5.33,103.33,0.0,402.67,544.33,544.33
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0.0,2094.33,,2851.33,4060.33,4060.33
marxists.org,clear,https://marxists.org,35.67,116.67,0.0,461.0,643.33,643.33
